"crash_record_id","crash_date_est_i","crash_date","posted_speed_limit","traffic_control_device","device_condition","weather_condition","lighting_condition","first_crash_type","trafficway_type","lane_cnt","alignment","roadway_surface_cond","road_defect","report_type","crash_type","intersection_related_i","private_property_i","hit_and_run_i","damage","date_police_notified","prim_contributory_cause","sec_contributory_cause","street_no","street_direction","street_name","beat_of_occurrence","photos_taken_i","statements_taken_i","dooring_i","work_zone_i","work_zone_type","workers_present_i","num_units","most_severe_injury","injuries_total","injuries_fatal","injuries_incapacitating","injuries_non_incapacitating","injuries_reported_not_evident","injuries_no_indication","injuries_unknown","crash_hour","crash_day_of_week","crash_month","latitude","longitude","location"
"c85240873b1b2563cb5e0c90e06afa99b74bb758cfa97d0e4aead9658bc8db31581d6de649e6e3344da3e9516a47e69091d3af97e29f02c6de064d9d31b9a81a",,"2026-04-18T01:45:00.000","30","TRAFFIC SIGNAL","FUNCTIONING PROPERLY","RAIN","DARKNESS, LIGHTED ROAD","REAR END","NOT DIVIDED",,"STRAIGHT AND LEVEL","WET","NO DEFECTS","NOT ON SCENE (DESK REPORT)","NO INJURY / DRIVE AWAY",,,,"OVER $1,500","2026-04-18T02:00:00.000","UNABLE TO DETERMINE","NOT APPLICABLE","7100","S","WESTERN AVE","832",,,,,,,"2","NO INDICATION OF INJURY","0","0","0","0","0","3","0","1","7","4","41.7646089122","-87.6833870533","POINT (-87.683387053281 41.764608912236)"
"e4ab2f4a37a019fd8492c3c68305d7c48ac0f5a7c9d58dcbe2680468f47bd5340b17a65be5680cecf8edd1ef6aa39d036dde5fcc65ea986e7d59c1646ef65707",,"2026-04-18T01:17:00.000","30","TRAFFIC SIGNAL","FUNCTIONING PROPERLY","RAIN","DARKNESS, LIGHTED ROAD","TURNING","FOUR WAY",,"STRAIGHT AND LEVEL","WET","NO DEFECTS","ON SCENE","INJURY AND / OR TOW DUE TO CRASH","Y",,,"OVER $1,500","2026-04-18T01:36:00.000","UNABLE TO DETERMINE","UNABLE TO DETERMINE","41","W","WACKER DR","111",,,,,,,"2","NO INDICATION OF INJURY","0","0","0","0","0","6","0","1","7","4","41.8867080859","-87.6296015631","POINT (-87.629601563147 41.886708085892)"
"b2c5a8984887782f45655931ea07ea1699215b7446ce042e1427d186f3a9a1de134605ef2ce0a4374b600bad78c65b3e10e4fcd43069ecb95e70b53438d2f9d2",,"2026-04-18T01:04:00.000","20","NO CONTROLS","NO CONTROLS","RAIN","DARKNESS, LIGHTED ROAD","PARKED MOTOR VEHICLE","DIVIDED - W/MEDIAN (NOT RAISED)",,"STRAIGHT AND LEVEL","WET","NO DEFECTS","NOT ON SCENE (DESK REPORT)","NO INJURY / DRIVE AWAY",,,"N","OVER $1,500","2026-04-18T01:36:00.000","IMPROPER BACKING","FAILING TO REDUCE SPEED TO AVOID CRASH","4830","N","CENTRAL PARK AVE","1712",,,,,,,"2","NO INDICATION OF INJURY","0","0","0","0","0","1","0","1","7","4","41.9692842846","-87.7184268363","POINT (-87.718426836301 41.969284284638)"
"55e705a664cbd0ad3961d701adc8af91e07b95904ea670cb2d9a29eacfe961b22882372aad238ea1bb1b7c71b456ca586ff22057a028fa421fc4f9189dcdd68e",,"2026-04-18T00:10:00.000","30","STOP SIGN/FLASHER","FUNCTIONING PROPERLY","RAIN","DARKNESS, LIGHTED ROAD","TURNING","NOT DIVIDED",,"STRAIGHT AND LEVEL","WET","NO DEFECTS","ON SCENE","INJURY AND / OR TOW DUE TO CRASH",,,,"OVER $1,500","2026-04-18T00:19:00.000","FAILING TO YIELD RIGHT-OF-WAY","NOT APPLICABLE","3424","N","CICERO AVE","1634",,,,,,,"2","NO INDICATION OF INJURY","0","0","0","0","0","4","0","0","7","4","41.9432228583","-87.7471307506","POINT (-87.747130750615 41.943222858294)"
"b4090532587c955b92c35d9475fac5a9aaa2bb5c6d7e27672b91cf0fab467f2f6f3c4a9569d12ab1f787d4fbb0f04a3886239cd74e0a88f80ca9c070a62beb85",,"2026-04-17T23:50:00.000","30","NO CONTROLS","NO CONTROLS","RAIN","DARKNESS, LIGHTED ROAD","FIXED OBJECT","DIVIDED - W/MEDIAN BARRIER",,"STRAIGHT AND LEVEL","WET","UNKNOWN","ON SCENE","INJURY AND / OR TOW DUE TO CRASH",,,,"OVER $1,500","2026-04-17T23:52:00.000","WEATHER","DRIVING SKILLS/KNOWLEDGE/EXPERIENCE","228","W","LOWER WACKER DR","122",,,,,,,"1","NO INDICATION OF INJURY","0","0","0","0","0","2","0","23","6","4","41.8870564689","-87.6349370377","POINT (-87.634937037709 41.887056468859)"
"d0c02b127af5eba533ec0ea76fc95f461669ba85df42e805e3fa94027e97c6d923237e9c313a010e3594faeab8d0241b7d8827c11982cfe235eab354c5f3b507",,"2026-04-17T23:10:00.000","30","TRAFFIC SIGNAL","FUNCTIONING PROPERLY","RAIN","DARKNESS, LIGHTED ROAD","REAR END","FOUR WAY",,"STRAIGHT AND LEVEL","WET","UNKNOWN","NOT ON SCENE (DESK REPORT)","NO INJURY / DRIVE AWAY","Y",,,"$501 - $1,500","2026-04-18T00:55:00.000","UNABLE TO DETERMINE","UNABLE TO DETERMINE","835","N","MICHIGAN AVE","1833",,,,,,,"2","NO INDICATION OF INJURY","0","0","0","0","0","3","0","23","6","4","41.8977408563","-87.623961316","POINT (-87.623961315982 41.897740856253)"
"3c5b647449be4f1a58d8329f859a5ff53d597bc04f37b2ab6976e2eb39ece826e26ec95b72873e2a29d5cf2aa7d990aadc6090386310da4c4eb4c876bebff2a2",,"2026-04-17T23:00:00.000","30","NO CONTROLS","NO CONTROLS","RAIN","DARKNESS, LIGHTED ROAD","REAR END","CENTER TURN LANE",,"STRAIGHT AND LEVEL","WET","UNKNOWN","ON SCENE","INJURY AND / OR TOW DUE TO CRASH",,,,"OVER $1,500","2026-04-17T23:41:00.000","UNABLE TO DETERMINE","UNABLE TO DETERMINE","7106","S","SOUTH SHORE DR","334","Y","Y",,,,,"2","REPORTED, NOT EVIDENT","2","0","0","0","2","1","0","23","6","4","41.7660053892","-87.5627183866","POINT (-87.562718386642 41.766005389175)"
"38e99ae39d27bc15c1d0b94a186d24d15eaa5452188bbb7628a5a47bda63d210bce3e1afb3acd6899a5f159a5b154cc865295118c56a694b7c0084d17d23de72",,"2026-04-17T22:45:00.000","30","NO CONTROLS","NO CONTROLS","RAIN","DARKNESS","PARKED MOTOR VEHICLE","OTHER",,"STRAIGHT AND LEVEL","WET","NO DEFECTS","ON SCENE","INJURY AND / OR TOW DUE TO CRASH",,,,"OVER $1,500","2026-04-17T22:45:00.000","PHYSICAL CONDITION OF DRIVER","PHYSICAL CONDITION OF DRIVER","1214","N","HARDING AVE","2535",,,,,,,"2","INCAPACITATING INJURY","1","0","1","0","0","0","0","22","6","4","41.9031523081","-87.7252458311","POINT (-87.725245831074 41.903152308126)"
"c6f16d0eef72c627b5e699606fc9b9e1ee47dadaf973bd04990ab8adb398666112f3f9562b745ae3cccad72e64b771dbd2229e1fe265d4b12efb60adb88b0d93",,"2026-04-17T22:45:00.000","30","NO CONTROLS","NO CONTROLS","CLEAR","DARKNESS","SIDESWIPE SAME DIRECTION","NOT DIVIDED",,"STRAIGHT AND LEVEL","WET","NO DEFECTS","NOT ON SCENE (DESK REPORT)","NO INJURY / DRIVE AWAY",,,,"OVER $1,500","2026-04-18T00:00:00.000","UNABLE TO DETERMINE","UNABLE TO DETERMINE","2808","N","WESTERN AVE","1411",,,,,,,"2","NO INDICATION OF INJURY","0","0","0","0","0","2","0","22","6","4","41.9323518485","-87.6880449749","POINT (-87.688044974908 41.932351848527)"
"4f9da2b2cc48d7e9b8dd32474c6748b77ea4676d73cdeabc660d64a7ec29991f6c8cb4485acff7fbb9140b6208719d9518f7a5c2a26c553ee6af9b962ff1fdf5",,"2026-04-17T22:42:00.000","30","NO CONTROLS","NO CONTROLS","RAIN","DARKNESS, LIGHTED ROAD","SIDESWIPE SAME DIRECTION","ONE-WAY",,"STRAIGHT AND LEVEL","WET","NO DEFECTS","NOT ON SCENE (DESK REPORT)","NO INJURY / DRIVE AWAY",,,"Y","OVER $1,500","2026-04-17T23:20:00.000","UNABLE TO DETERMINE","NOT APPLICABLE","415","N","DEARBORN ST","1831",,,,,,,"2","NO INDICATION OF INJURY","0","0","0","0","0","2","0","22","6","4","41.8897830872","-87.6294536001","POINT (-87.629453600131 41.889783087171)"
